Branch Name (Thai),Branch Name (English),January 2569 Always-On,Always-On Percentage,Rank,Water Bill (Jan),Payment Total (Jan)
สาขาชลบุรี,Chonburi,0.8685404964337493,86.85%,3,95725503.7,137259.0
สาขาบ้านบึง,Ban Bueng,0.8623719188510761,86.24%,5,32507324.42,48602.0
สาขาพนัสนิคม,Phanat Nikhom,0.8561055081458495,85.61%,10,40092597.79,64450.0
สาขาศรีราชา,Si Racha,0.8497568234610917,84.98%,8,40024427.29,55104.0
สาขาแหลมฉบัง,Laem Chabang,0.8478488517868468,84.78%,9,48924284.78,67801.0
สาขาพัทยา,Pattaya,0.8765431030753925,87.65%,2,141921532.28,115595.0
สาขาฉะเชิงเทรา,Chachoengsao,0.8178964362592681,81.79%,12,21831698.05,33448.0
สาขาบางปะกง,Bang Pakong,0.824489009930951,82.45%,14,29440289.72,36351.0
สาขาบางคล้า,Bang Khla,0.8398862403612162,83.99%,7,38941309.64,68214.0
สาขาพนมสารคาม,Phanom Sarakham,0.8190577801487013,81.91%,13,12299283.71,29993.0
สาขาระยอง,Rayong,0.8640859095641154,86.41%,4,38822520.69,88372.0
สาขาบ้านฉาง,Ban Chang,0.882970284390871,88.30%,1,54329675.64,109673.0
สาขาปากน้ำประแสร์,Pak Nam Pra Sae,0.8261774655217278,82.62%,11,11747993.78,19215.0
สาขาจันทบุรี,Chanthaburi,0.8032568699600721,80.33%,16,27547376.69,63865.0
สาขาขลุง,Khlung,0.8145986403900295,81.46%,15,5383053.75,14563.0
สาขาตราด,Trat,0.7270473991579519,72.70%,17,11324869.33,29452.0
สาขาคลองใหญ่,Khlong Yai,0.6722400857449089,67.22%,20,1337885.32,4665.0
สาขาสระแก้ว,Sa Kaew,0.6962878124368389,69.63%,19,7205540.38,14843.0
สาขาวัฒนานคร,Watthananakorn,0.6312535132096684,63.13%,21,2420910.45,5337.0
สาขาอรัญประเทศ,Aranyaprathet,0.5372299082854034,53.72%,22,6156542.69,19299.0
สาขาปราจีนบุรี,Prachuap Khiri Khan,0.8360856415918583,83.61%,6,17083995.67,41662.0
สาขากบินทร์บุรี,Kabin Buri,0.7451725937523298,74.52%,18,7332854.77,13413.0
